Time,Title,Authors,Type
(GMT+1 Time),,,
09:30-09:35,Opening,,
09:35-10:30,Keynote: <i>Mutation for AI and with AI</i>,Prof. Jie M. Zhang,
11:00-12:30,Session 1</b>,(Chair) Renzo Degiovanni,
,<i>Mutant-Kraken: A Mutation Testing Tool for Kotlin</i>,"Josue Morales, Lin Deng, Josh Dehlinger, Suranjan Chakraborty",Full
,<i>Timed Model-Based Mutation Operators for Simulink Models</i>,"Jian Chen, Manar Alalfi, Thomas Dean",Short
,<i>Improving the Efficacy of Testing Scientific Software: Insights from Mutation Testing</i>,"Kris Roker, Upulee Kanewala",Full
12:30-14:00,Lunch (90 min),,
14:00-15:30,Session 2,(Chair) Renzo Degiovanni,
,<i>Test Harness Mutilation</i>,"Samuel Moelius",Full
,<i>An Empirical Evaluation of Manually Created Equivalent Mutants</i>,"Philipp Straubinger, Alexander Degenhart, Gordon Fraser",Full
,<i>A Study of Flaky Failure De-Duplication to Identify Unreliably Killed Mutants</i>,"Abdulrahman Alshammari, Paul Ammann, Michael Hilton, Jonathan Bell",Full
16:00-17:30,Best paper award, dicussion and closing,,

